Sample 26,,
Wavelength (nm),Intensity (a.u.),
220,-0.5889281631,
220.9299927,0,
222.0299988,0.6472491622,
222.9600067,0,
224.0599976,0.4287858307,
225,0.2631717324,
225.9299927,0.236313507,
227.0299988,0.2087931782,
227.9600067,0,
229.0599976,-0.1327521801,
230,-0.06602403522,
230.9299927,-0.0458631441,
232.0299988,0.1257576942,
232.9600067,-0.1364554316,
234.0599976,-0.1151046008,
235,0.0881652832,
235.9299927,-0.1465029716,
237.0299988,0.02692732215,
237.9600067,0.02377273329,
239.0599976,0.1187601462,
240,0,
240.9299927,0.1502990872,
242.0299988,0.09262812138,
242.9600067,0.1831077039,
244.0599976,-0.0113051841,
245,0,
245.9299927,-0.06995242834,
247.0299988,0.009675391018,
247.9600067,0.02001200616,
249.0599976,-0.01089360192,
250,-0.06086279079,
250.9299927,0.08145201951,
252.0299988,-0.05851546302,
252.9600067,-0.09418708831,
254.0599976,-0.0645911321,
255,0,
255.9299927,0.09387153387,
257.0299988,0.1314377189,
257.9599915,0.1528613865,
259.0599976,0.203391552,
260,0.1663270742,
261.0700073,0.180370301,
262,0.2937029898,
263.0700073,0.5829519033,
264,1.019344926,
265.0700073,1.980664492,
266,2.750523329,
267.0700073,3.640811205,
268,3.712441444,
269.0700073,3.387636185,
270,2.704827785,
270.9299927,1.982145667,
272.0299988,1.208733082,
272.9599915,0.7766960859,
274.0599976,0.585142076,
275,0.3797641993,
275.9299927,0.4291412234,
277.0299988,0.451430887,
277.9599915,0.3313191235,
279.0599976,0.4922130704,
280,0.4436393082,
280.9299927,0.5216121078,
282.0299988,0.4314520359,
282.9599915,0.5318192244,
284.0599976,0.4916760921,
285,0.512165904,
285.9299927,0.4147560894,
287.0299988,0.4210042953,
287.9599915,0.4530258775,
289.0599976,0.4482617974,
290,0.5180866718,
291.0700073,0.4555704892,
292,0.4490849972,
293.0700073,0.4791772664,
294,0.4194869399,
295.0700073,0.4780441225,
296,0.5095808506,
297.0700073,0.5277044773,
298,0.4425562024,
299.0700073,0.4179728329,
300,0.4743705392,
300.9299927,0.6358048916,
302.0299988,0.4644775689,
302.9599915,0.4662294388,
304.0599976,0.5648919344,
305,0.5870730877,
305.9299927,0.545119524,
307.0299988,0.5606366992,
307.9599915,0.4807258844,
309.0599976,0.5938304067,
310,0.4660671353,
311.0700073,0.5135007501,
312,0.4092784524,
313.0700073,0.4731208384,
314,0.5503816605,
315.0700073,0.4807050228,
316,0.4855585694,
317.0700073,0.5288606882,
318,0.4725451171,
319.0700073,0.5277218819,
320,0.6486702561,
321.0700073,0.6878840327,
322,0.5976370573,
323.0700073,0.3844510913,
324,0.4884005189,
325.0700073,0.4777046144,
326,0.5174428225,
327.0700073,0.616522789,
328,0.5456439853,
329.0700073,0.6836181879,
330,0.5567381978,
330.9299927,0.5496548414,
332.0299988,0.4877652228,
332.9599915,0.6285861731,
334.0599976,0.5716009736,
335,0.5616625547,
335.9299927,0.5870710015,
337.0299988,0.5230125189,
337.9599915,0.530623436,
339.0599976,0.4400260746,
340,0.6058190465,
341.0700073,0.5039211512,
342,0.4259319007,
343.0700073,0.4744651318,
344,0.6243796349,
345.0700073,0.6069886684,
346,0.5686341524,
347.0700073,0.6995657086,
348,0.564510107,
349.0700073,0.5206826329,
350,0.633469224,
351.0700073,0.6080634594,
352,0.4709906876,
353.0700073,0.5199366808,
354,0.5759447217,
355.0700073,0.646584928,
356,0.6215753555,
357.0700073,0.6414711475,
358,0.5610232949,
359.0700073,0.4968674183,
360,0.5395683646,
361.0700073,0.5085632801,
362,0.5003573895,
363.0700073,0.5110216141,
364,0.4538886249,
365.0700073,0.5367632508,
366,0.4951986969,
367.0700073,0.6284107566,
368,0.4955572784,
369.0700073,0.5624099374,
370,0.6624709964,
371.0599976,0.5662998557,
371.9599915,0.4719594419,
373.0299988,0.5471046567,
373.9299927,0.5401318073,
375,0.5780511498,
376.0599976,0.5122773051,
376.9599915,0.5033442378,
378.0299988,0.5345306993,
378.9299927,0.5259101391,
380,0.5851426721,
381.0700073,0.6366171241,
382,0.5330215096,
383.0700073,0.5752179623,
384,0.5987426043,
385.0700073,0.6280421019,
386,0.6190848947,
387.0700073,0.6086334586,
388,0.6061756611,
389.0700073,0.4775821567,
390,0.5609599352,
391.0700073,0.5625599623,
392,0.5411813259,
393.0700073,0.6037022471,
394,0.6343230009,
395.0700073,0.6245883703,
396,0.5856701136,
397.0700073,0.6024796367,
398,0.6179723144,
399.0700073,0.6120041609,
400,0.594366014,
401.0599976,0.6179597974,
401.9599915,0.5658254623,
403.0299988,0.6365451217,
403.9299927,0.6357161403,
405,0.6414723992,
406.0599976,0.6087587476,
406.9599915,0.5702526569,
408.0299988,0.6798390746,
408.9299927,0.6014637947,
410,0.6257328391,
411.0700073,0.5769384503,
412,0.6382451057,
413.0700073,0.6376135349,
414,0.6404929161,
415.0700073,0.5742958784,
416,0.6004741192,
417.0700073,0.6521330476,
418,0.6491554976,
419.0700073,0.6183262467,
420,0.6115594506,
421.0599976,0.5853475928,
421.9599915,0.5924958587,
423.0299988,0.591234684,
423.9299927,0.610335052,
425,0.6017407179,
426.0599976,0.5645439029,
426.9599915,0.5798026323,
428.0299988,0.5635694265,
428.9299927,0.561431706,
430,0.6070196629,
431.0599976,0.5412742496,
431.9599915,0.5751835704,
433.0299988,0.6502866149,
433.9299927,0.6066784263,
435,0.599360168,
436.0599976,0.594758153,
436.9599915,0.5938380361,
438.0299988,0.5274240971,
438.9299927,0.6172345877,
440,0.5719355345,
441.0599976,0.5459864736,
441.9599915,0.57491678,
443.0299988,0.5429994464,
443.9299927,0.5276528001,
445,0.5188717842,
446.0599976,0.5530142784,
446.9599915,0.4896739721,
448.0299988,0.4963311851,
448.9299927,0.4863606691,
450,0.4953785241,
451.0599976,0.5253309608,
451.9599915,0.5245806575,
453.0299988,0.5370619297,
453.9299927,0.4380910397,
455,0.4732807279,
456.0599976,0.4724640846,
456.9599915,0.4861232042,
458.0299988,0.4418070912,
458.9299927,0.4788932204,
460,0.4455049038,
461.0599976,0.527548492,
461.9599915,0.5585173965,
463.0299988,0.6348640919,
463.9299927,0.7255194187,
465,0.6339414716,
466.0599976,0.612396419,
466.9599915,0.5452113152,
468.0299988,0.5035147667,
468.9299927,0.4540719688,
470,0.4477941096,
471.0400085,0.4306024015,
471.9400024,0.4010442495,
472.980011,0.3872760832,
474.019989,0.4505708516,
475.0700073,0.3831615448,
475.9700012,0.3829414248,
477.0100098,0.4699549079,
478.0499878,0.4053799808,
478.9500122,0.3196800649,
480,0.3674256206,
481.0599976,0.3574247658,
481.9599915,0.3622144759,
483.0299988,0.3316173255,
483.9299927,0.3441546559,
485,0.3171331286,
486.0599976,0.3106626272,
486.9599915,0.2804476023,
488.0299988,0.242701903,
488.9299927,0.2271168232,
490,0.2613695562,
491.0400085,0.2428094149,
491.9400024,0.2585900426,
492.980011,0.2482035458,
494.019989,0.2970618308,
495.0700073,0.2867436409,
495.9700012,0.232509464,
497.0100098,0.204892844,
498.0499878,0.1682368815,
498.9500122,0.1750868857,
500,0.2664535046,
501.0599976,0.1834649742,
501.9599915,0.2456037104,
503.0299988,0.133394897,
503.9299927,0.2395958155,
505,0.2084071487,
506.0599976,0.1691761166,
506.9599915,0.2558853626,
508.0299988,0.1859554648,
508.9299927,0.1830090433,
510,0.2397874445,
511.0400085,0.2588709593,
511.9400024,0.2034249306,
512.9799805,0.2259738147,
514.0200195,0.1756688356,
515.0700073,0.2224414349,
515.9699707,0.1420441121,
517.0100098,0.1906006634,
518.0499878,0.1240507811,
518.9500122,0.1559118032,
520,0.219321236,
521.039978,0.1955361962,
521.9400024,0.1801836044,
522.9799805,0.1517105401,
524.0200195,0.1269323081,
525.0700073,0.1300020367,
525.9699707,0.07629881054,
527.0100098,0.1534909904,
528.0499878,0.1258617342,
528.9500122,0.08057739586,
530,0.1349686086,

Sample 26,
Sample 26
Collection Time: 21/05/2023 2:08:13 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         530.00
Em. Wavelength (nm)               540.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 2:07:15 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 470.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 480.00, New: 540.00
Stop Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 700.00, New: 530.00
End Method Modifications

