Sample 9,,
Wavelength (nm),Intensity (a.u.),
430,1.132302403,
431.0400085,1.129106283,
431.9400024,1.246759892,
432.980011,1.421721816,
434.019989,1.570076823,
435.0700073,1.94255352,
435.9700012,2.256749153,
437.0100098,2.578487873,
438.0499878,2.961605549,
438.9500122,3.305086851,
440,3.62348032,
441.0599976,4.089292049,
441.9599915,4.558290005,
443.0299988,4.928757668,
443.9299927,5.122517586,
445,5.481332779,
446.0599976,5.903479099,
446.9599915,6.379375935,
448.0299988,7.035853386,
448.9299927,7.713860989,
450,8.878966331,
451.0599976,10.1262989,
451.9599915,11.70161819,
453.0299988,14.40821075,
453.9299927,17.39404297,
455,22.02123451,
456.0599976,27.19358253,
456.9599915,32.76843262,
458.0299988,41.79470062,
458.9299927,52.79571915,
460,69.56164551,
461.0400085,86.73667908,
461.9400024,104.0765228,
462.980011,133.0857544,
464.019989,169.8204803,
465.0700073,217.1482849,
465.9700012,262.9044189,
467.0100098,329.1983643,
468.0499878,403.5903015,
468.9500122,471.4472656,
470,567.7614136,
471.0400085,658.3029785,
471.9400024,750.2676392,
472.980011,835.628479,
474.019989,905.5307007,
475.0700073,955.9899902,
475.9700012,984.3184204,
477.0100098,993.8173218,
478.0499878,983.3046875,
478.9500122,956.6887817,
480,920.8427734,
481.0400085,874.5805664,
481.9400024,831.5569458,
482.980011,780.1991577,
484.019989,722.4954224,
485.0700073,670.8632813,
485.9700012,631.9155884,
487.0100098,582.9556885,
488.0499878,536.0506592,
488.9500122,496.3325806,
490,459.7236328,
491.0400085,426.3501282,
491.9400024,402.4775391,
492.980011,380.7347412,
494.019989,366.4456482,
495.0700073,357.5210876,
495.9700012,355.2315369,
497.0100098,356.5175781,
498.0499878,365.1854553,
498.9500122,375.9308167,
500,388.708374,
501.0400085,409.2107849,
501.9400024,425.3809509,
502.980011,445.936615,
504.019989,461.6062317,
505.0700073,473.3898926,
505.9700012,482.2340393,
507.0100098,492.0404358,
508.0499878,490.1937866,
508.9500122,488.3254089,
510,481.7830505,
511.0400085,470.6075134,
511.9400024,459.5358887,
512.9799805,443.2237549,
514.0200195,422.2156067,
515.0700073,399.0866089,
515.9699707,380.0773315,
517.0100098,357.8633728,
518.0499878,335.9203491,
518.9500122,318.5674744,
520,297.8162231,
521.0200195,279.024231,
522.0499878,261.4244995,
522.9400024,249.0102386,
523.9699707,236.2181854,
525,223.8595734,
526.0200195,213.0628357,
527.0499878,203.1198883,
527.9400024,195.8102417,
528.9699707,188.4876862,
530,182.2762146,
531.039978,176.6361237,
531.9400024,173.4720917,
532.9799805,168.3886414,
534.0200195,163.2655029,
535.0700073,159.6047058,
535.9699707,157.2583313,
537.0100098,155.3734436,
538.0499878,151.2289124,
538.9500122,149.2992401,
540,147.0753174,
541.0200195,144.0491486,
542.0499878,141.4412689,
542.9400024,138.6494751,
543.9699707,135.8532867,
545,132.3567047,
546.0200195,128.6031189,
547.0499878,124.28479,
547.9400024,120.7013245,
548.9699707,116.5820084,
550,111.4398499,
551.0200195,106.5521011,
552.0499878,101.328949,
552.9400024,97.32991791,
553.9699707,91.94358063,
555,87.69235229,
556.0200195,83.33333588,
557.0499878,79.1200943,
557.9400024,75.08178711,
558.9699707,71.81023407,
560,67.46465302,
561.0200195,64.01811218,
562.0499878,61.41960526,
562.9400024,58.95880127,
563.9699707,56.26030731,
565,53.8016243,
566.0200195,51.65400314,
567.0499878,48.95597839,
567.9400024,47.49604034,
568.9699707,45.56943893,
570,44.43290329,
571.0100098,43.27401733,
572.0200195,41.13602829,
573.039978,39.75717163,
574.0499878,38.55225372,
575.0700073,36.90364838,
575.9400024,36.59883499,
576.9500122,35.2968483,
577.9699707,33.73283386,
578.9799805,32.74352264,
580,32.00755692,
581.0200195,30.27284622,
582.0499878,28.91030693,
582.9400024,27.94293213,
583.9699707,27.00565529,
585,26.36868477,
586.0200195,25.27136612,
587.0499878,23.98243332,
587.9400024,22.89484978,
588.9699707,22.04110909,
590,21.23280907,
591.0100098,20.45102501,
592.0200195,19.62608337,
593.039978,18.53309059,
594.0499878,17.8046627,
595.0700073,16.9443512,
595.9400024,16.47017288,
596.9500122,15.54876804,
597.9699707,14.86735344,
598.9799805,14.28721714,
600,13.61713696,
601.0100098,12.98588657,
602.0200195,12.45116806,
603.039978,11.81276894,
604.0499878,11.21537876,
605.0700073,10.75015736,
605.9400024,10.21545124,
606.9500122,9.868310928,
607.9699707,9.311724663,
608.9799805,8.979943275,
610,8.679857254,
611.0100098,8.246582031,
612.0200195,7.928461075,
613.039978,7.720172405,
614.0499878,7.362539768,
615.0700073,6.995848656,
615.9400024,6.746818542,
616.9500122,6.508173466,
617.9699707,6.269232273,
618.9799805,5.954500198,
620,5.730108261,
621.0100098,5.586920261,
622.0200195,5.390861988,
623.039978,5.112164974,
624.0499878,4.965405941,
625.0700073,4.767123222,
625.9400024,4.65572834,
626.9500122,4.503036976,
627.9699707,4.189872742,
628.9799805,3.99557972,
630,3.861566067,
631,3.670764446,
632,3.465369225,
633,3.351608753,
634,3.239179611,
635,3.135166407,
636,2.947753906,
637,2.811013937,
638,2.801941156,
639,2.673614979,
640,2.470840693,
641.0100098,2.39436388,
642.0200195,2.314162016,
643.039978,2.211555719,
644.0499878,2.104765654,
645.0700073,2.007365942,
645.9400024,1.905953288,
646.9500122,1.802132487,
647.9699707,1.759083509,
648.9799805,1.646910191,
650,1.570042014,
651,1.512456656,
652,1.520079017,
653,1.419644237,
654,1.320952415,
655,1.295806766,
656,1.217201829,
657,1.192713022,
658,1.158375502,
659,1.08298099,
660,1.043007851,
661,1.020674348,
662,0.9655479193,
663,0.9633009434,
664,0.867400527,
665,0.8825176358,
666,0.8625945449,
667,0.8067134023,
668,0.777179718,
669,0.8003599644,
670,0.6883041263,
670.9799805,0.6855415106,
671.9699707,0.6204263568,
672.9500122,0.6440671086,
673.9400024,0.6027079821,
675.0700073,0.582931757,
676.0499878,0.5912104249,
677.039978,0.601216197,
678.0200195,0.5354967117,
679.0100098,0.5279009342,
680,0.4645177424,
681,0.4958307743,
682,0.4750858247,
683,0.4491991997,
684,0.4098717868,
685,0.4324394166,
686,0.3868446648,
687,0.3736845255,
688,0.3694464266,
689,0.3584645987,
690,0.3356809318,
690.9799805,0.3425562382,
691.9699707,0.3163023591,
692.9500122,0.272192955,
693.9400024,0.2956820428,
695.0700073,0.3351487219,
696.0499878,0.2618988156,
697.039978,0.2677552998,
698.0200195,0.2566726804,
699.0100098,0.2624537349,
700,0.2808925211,
700.9799805,0.3013081253,
701.9699707,0.2511014938,
702.9500122,0.2222280353,
703.9400024,0.2172481865,
705.0700073,0.2218835056,
706.0499878,0.2027163953,
707.039978,0.1840302646,
708.0200195,0.2140876055,
709.0100098,0.225966081,
710,0.168429777,
710.9799805,0.155184105,
711.9699707,0.1432998925,
712.9500122,0.1583408564,
713.9400024,0.1792676896,
715.0700073,0.1374008209,
716.0499878,0.1656641811,
717.039978,0.1719038934,
718.0200195,0.1812274754,
719.0100098,0.156065762,
720,0.1301129162,
720.9699707,0.1587668657,
721.9400024,0.1230863407,
723.0499878,0.1411388814,
724.0200195,0.1061577946,
725,0.1275030375,
725.9699707,0.1253704876,
726.9400024,0.1115264148,
728.0499878,0.1313141584,
729.0200195,0.1175065115,
730,0.1190586388,
730.9799805,0.1065444052,
731.9699707,0.09065818042,
732.9500122,0.1153590381,
733.9400024,0.1261903048,
735.0700073,0.09082123637,
736.0499878,0.09430403262,
737.039978,0.117712833,
738.0200195,0.09248095751,
739.0100098,0.1176915318,
740,0.07179560512,
740.9500122,0.1090390161,
742.0499878,0.1127620935,
743.0100098,0.07790336013,
743.9699707,0.1032457873,
745.0599976,0.09287083894,
746.0200195,0.06965935975,
746.9799805,0.06691414118,
747.9400024,0.0790284723,
749.039978,0.05530343577,
750,0.1055339351,

Sample 9,
Sample 9
Collection Time: 25/07/2023 4:10:24 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        430.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               420.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 25/07/2023 3:18:52 PM
Method Modifications:
Overlayed Graphs Changed: 25/07/2023 3:40:07 PM, Old:OFF, New:ON
PMT Volts Changed: 25/07/2023 3:40:07 PM, Old:600, New:800
Scan Control Changed: 25/07/2023 3:40:07 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 25/07/2023 3:40:07 PM, Old:0.10000, New:0.50000
Emission PMT (V): Changed: 25/07/2023 3:40:07 PM, Old: 600, New: 800
Excitation Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 350.00, New: 380.00
Emission Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 400.00, New: 390.00
Stop Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 600.00, New: 700.00
Stop Wavelength Changed: 25/07/2023 3:43:33 PM, Old: 700.00, New: 800.00
Scan mode: Changed: 25/07/2023 3:51:37 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 380.00, New: 220.00
Emission Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 390.00, New: 293.00
Stop Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 800.00, New: 283.00
User Delta Stop Changed: 25/07/2023 3:52:40 PM, Old: 450.00, New: 500.00
User Delta Increment Changed: 25/07/2023 3:52:40 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 293.00, New: 500.00
Stop Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 283.00, New: 490.00
Scan mode: Changed: 25/07/2023 4:08:59 PM, Old:Excitation, New:Emission
Scan Control Changed: 25/07/2023 4:08:59 PM, Old:Manual, New:Medium
Ave. time (s): Changed: 25/07/2023 4:08:59 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 25/07/2023 4:08:59 PM, Old: 220.00, New: 440.00
Emission Wavelength Changed: 25/07/2023 4:08:59 PM, Old: 500.00, New: 450.00
Stop Wavelength Changed: 25/07/2023 4:08:59 PM, Old: 490.00, New: 750.00
PMT Volts Changed: 25/07/2023 4:09:53 PM, Old:800, New:600
Emission PMT (V): Changed: 25/07/2023 4:09:53 PM, Old: 800, New: 600
Excitation Wavelength Changed: 25/07/2023 4:09:53 PM, Old: 440.00, New: 430.00
Emission Wavelength Changed: 25/07/2023 4:09:53 PM, Old: 450.00, New: 440.00
Excitation Wavelength Changed: 25/07/2023 4:10:22 PM, Old: 430.00, New: 420.00
Emission Wavelength Changed: 25/07/2023 4:10:22 PM, Old: 440.00, New: 430.00
End Method Modifications

