Sample 40,,
Wavelength (nm),Intensity (a.u.),
436.8599854,0.3623450994,
437.9100037,0.3086974621,
438.7999878,0.323649317,
439.8500061,0.4060329199,
440.8999939,0.3673194647,
441.8099976,0.3522690237,
442.8699951,0.4235571623,
443.7799988,0.331422627,
444.8399963,0.3268586099,
445.8999939,0.2938242257,
446.8099976,0.32715258,
447.8699951,0.3257220387,
448.7799988,0.3535668254,
449.8399963,0.3225475252,
450.8999939,0.4208690822,
451.8099976,0.4016018808,
452.8699951,0.4146545529,
453.7799988,0.3952613175,
454.8399963,0.4668153524,
455.8999939,0.4801627994,
456.8099976,0.4627487361,
457.8699951,0.5183246136,
458.7799988,0.4629093707,
459.8399963,0.461115092,
460.8900146,0.5392398834,
461.7900085,0.506308496,
462.8299866,0.6042453051,
463.8800049,0.5780680776,
464.769989,0.6315287352,
465.8200073,0.5890983939,
466.8599854,0.6393743157,
467.9100037,0.6756579876,
468.7999878,0.6083928943,
469.8500061,0.6743088365,
470.8900146,0.6487368345,
471.7900085,0.6560488343,
472.8299866,0.7524597645,
473.8800049,0.7017492056,
474.769989,0.6632629037,
475.8200073,0.6877033114,
476.8599854,0.702047348,
477.9100037,0.7915090919,
478.7999878,0.7409458756,
479.8500061,0.7023311853,
480.8900146,0.7706558108,
481.7900085,0.7966828346,
482.8299866,0.7804146409,
483.8800049,0.8088015318,
484.769989,0.9061873555,
485.8200073,0.9628844857,
486.8599854,1.025002837,
487.9100037,1.081504345,
488.7999878,1.092315435,
489.8500061,1.075308681,
490.8900146,1.072748303,
491.7900085,1.087444901,
492.8299866,1.003701329,
493.8800049,0.9692595601,
494.769989,0.8851499557,
495.8200073,0.857421875,
496.8599854,0.9014894366,
497.9100037,0.8651205301,
498.7999878,0.7958204746,
499.8500061,0.7952565551,
500.8900146,0.7218362689,
501.7900085,0.8081927299,
502.8299866,0.8250950575,
503.8800049,0.8065030575,
504.769989,0.7480242848,
505.8200073,0.7845158577,
506.8599854,0.7278161645,
507.9100037,0.755618751,
508.7999878,0.7724189758,
509.8500061,0.813733995,
510.8900146,0.7906835079,
511.7900085,0.7558090687,
512.8300171,0.7532763481,
513.8800049,0.7147039175,
514.7700195,0.7384232879,
515.8200073,0.7806430459,
516.8599854,0.7306107283,
517.9099731,0.6881303191,
518.7999878,0.7086675167,
519.8499756,0.6860716343,
520.8800049,0.7131415606,
521.9099731,0.7128969431,
522.789978,0.6668593884,
523.8200073,0.6332573295,
524.8499756,0.7283123732,
525.8800049,0.6573535204,
526.9099731,0.6477497816,
527.789978,0.6699754596,
528.8200073,0.6200277209,
529.8499756,0.5975843072,
530.8900146,0.6331888437,
531.789978,0.6704130769,
532.8300171,0.6207687855,
533.8800049,0.5912935138,
534.7700195,0.5769656897,
535.8200073,0.5964055061,
536.8599854,0.5795658231,
537.9099731,0.6109788418,
538.7999878,0.5370081663,
539.8499756,0.542388618,
540.8800049,0.5120232701,
541.9099731,0.5349274278,
542.789978,0.5419605374,
543.8200073,0.5472164154,
544.8499756,0.521731019,
545.8800049,0.5232442617,
546.9099731,0.5397953391,
547.789978,0.5305080414,
548.8200073,0.5046434999,
549.8499756,0.5245274901,
550.8800049,0.475243926,
551.9099731,0.4734320045,
552.789978,0.4488772154,
553.8200073,0.4631142914,
554.8499756,0.45122087,
555.8800049,0.4389566183,
556.9099731,0.4117218852,
557.789978,0.3936014771,
558.8200073,0.4577333033,
559.8499756,0.3843791187,
560.8800049,0.403883487,
561.9099731,0.4343950152,
562.789978,0.3840570152,
563.8200073,0.4206334054,
564.8499756,0.3808319867,
565.8800049,0.3636015654,
566.9099731,0.3513557315,
567.789978,0.3655304909,
568.8200073,0.3794235289,
569.8499756,0.3967833221,
570.8599854,0.30119434,
571.8800049,0.2993183732,
572.8900146,0.3108987212,
573.9099731,0.347143203,
574.7800293,0.3105002046,
575.789978,0.3366963267,
576.8099976,0.2898266912,
577.8200073,0.3381370306,
578.8400269,0.2839807868,
579.8499756,0.2920970619,
580.8800049,0.2906944156,
581.9099731,0.2920932472,
582.789978,0.2497157007,
583.8200073,0.2842194438,
584.8499756,0.2692678273,
585.8800049,0.2617423534,
586.9099731,0.2741878033,
587.789978,0.236490041,
588.8200073,0.2501019537,
589.8499756,0.2537700236,
590.8599854,0.2687560022,
591.8800049,0.2367575467,
592.8900146,0.2260159403,
593.9099731,0.2340893596,
594.7800293,0.2146791965,
595.789978,0.2069528699,
596.8099976,0.2227072269,
597.8200073,0.2250005603,
598.8400269,0.2232895195,
599.8499756,0.1657652259,
600.8599854,0.1751818508,
601.8800049,0.1779816747,
602.8900146,0.2281039506,
603.9099731,0.1702656895,
604.7800293,0.1775161028,
605.789978,0.1781033427,
606.8099976,0.1894451976,
607.8200073,0.158905521,
608.8400269,0.2026197463,
609.8499756,0.1685415357,
610.8599854,0.1925608665,
611.8800049,0.1330463737,
612.8900146,0.1353668422,
613.9099731,0.1325105131,
614.7800293,0.1766704768,
615.789978,0.1415966153,
616.8099976,0.136428237,
617.8200073,0.1547692865,
618.8400269,0.1400767416,
619.8499756,0.1534454376,
620.8599854,0.1369332522,
621.8800049,0.117023848,
622.8900146,0.1306998581,
623.9099731,0.134265244,
624.7800293,0.1245974153,
625.789978,0.1367994249,
626.8099976,0.09808915108,
627.8200073,0.1253333986,
628.8400269,0.09504005313,
629.8499756,0.1003374308,
630.8499756,0.0994963944,
631.8499756,0.1118505672,
632.8499756,0.09345235676,
633.8499756,0.09280707687,
634.8499756,0.1067958996,
635.8499756,0.1005809531,
636.8499756,0.1133791134,
637.8499756,0.04628361762,
638.8499756,0.05262010545,
639.8499756,0.08241891861,
640.8599854,0.07030787319,
641.8800049,0.06174531206,
642.8900146,0.07312979549,
643.9099731,0.08900030702,
644.7800293,0.0706737414,
645.789978,0.06942837685,
646.8099976,0.06463903189,
647.8200073,0.09072334319,
648.8400269,0.06435834616,
649.8499756,0.07286812365,
650.8499756,0.04196054861,
651.8499756,0.05020157993,
652.8499756,0.04817330465,
653.8499756,0.06082493812,
654.8499756,0.05305645987,
655.8499756,0.06646544486,
656.8499756,0.03738373518,
657.8499756,0.06192189828,
658.8499756,0.07220572978,
659.8499756,0.08174810559,
660.8499756,0.03187327087,
661.8499756,0.01646815613,
662.8499756,0.04941809922,
663.8499756,0.0473158136,
664.8499756,0.01159680262,
665.8499756,0.05578600243,
666.8499756,0.04741640016,
667.8499756,0.04260279983,
668.8499756,0.007623142097,
669.8499756,0.05766835064,
670.8400269,0.03036663868,
671.8300171,0.02254757658,
672.8099976,0.04385737702,
673.7999878,0.05569264665,
674.7800293,0.03268414363,
675.9099731,0.01910935156,
676.9000244,0.0156093305,
677.8800049,0.01240104996,
678.8699951,0.04526696354,
679.8499756,0.06509543955,
680.8499756,-0.007570309099,
681.8499756,0.003983127419,
682.8499756,0.01518118754,
683.8499756,0.02298216522,
684.8499756,-0.01213430241,
685.8499756,0.01118609868,
686.8499756,0.007873550989,
687.8499756,0.05005294085,
688.8499756,0.01531716064,
689.8499756,0.01115109026,
690.8400269,-0.0146256024,
691.8300171,-0.003725712886,
692.8099976,0.02240160108,
693.7999878,-0.007600747515,
694.7800293,0.003646028927,
695.9099731,-0.01150951069,
696.9000244,0.03731997684,
697.8800049,-0.007637785748,
698.8699951,0.03146336228,
699.8499756,0.01474181563,
700.8400269,0.03438448161,
701.8300171,-0.003657805035,
702.8099976,0.02225824818,
703.7999878,0.003725421382,
704.7800293,0.01114686392,
705.9099731,-0.01845753938,
706.9000244,0.01491802465,
707.8800049,-0.007531112526,
708.8699951,0.02636475302,
709.8499756,-0.019229142,
710.8400269,0.02281976305,
711.8300171,0,
712.8099976,0.02663085423,
713.7999878,-0.003709432902,
714.7800293,0.03002214245,
715.9099731,0.003725365968,
716.9000244,-0.007362252101,
717.8800049,-0.003699661465,
718.8699951,-0.007474903017,
719.8499756,0.01474219561,
720.8300171,0.007455398329,
721.7999878,0.007696096785,
722.9099731,0.01938014664,
723.8800049,-0.01106578205,
724.8599854,0.03605220094,
725.8300171,0.003808464622,
726.7999878,-0.01109209005,
727.9099731,0.01152985822,
728.8800049,-0.01944072917,
729.8599854,0,
730.8400269,-0.007535709534,
731.8300171,0.03695983067,
732.8099976,-0.03408084065,
733.7999878,0.01506489236,
734.7800293,0.02210172638,
735.9099731,0.01149152312,
736.9000244,0.02008734085,
737.8800049,0.01157983765,
738.8699951,0.01115395036,
739.8499756,-0.01134644449,
740.8200073,0.03807841241,
741.9099731,0.01572450623,
742.8699951,-0.0113349976,
743.8300171,-0.007645406295,
744.789978,-0.02303625457,
745.8900146,-0.01266041864,
746.8400269,0.02833721414,
747.7999878,-0.03484671563,
748.9000244,0.004018920939,
749.8599854,-0.01587150432,
750.8300171,-0.03752345219,

Sample 40,
Sample 40
Collection Time: 21/05/2023 3:15:19 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        437.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               427.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 2:07:15 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 470.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 480.00, New: 540.00
Stop Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 21/05/2023 2:14:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 220.00, New: 366.00
Emission Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 540.00, New: 376.00
Stop Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 530.00, New: 550.00
Stop Wavelength Changed: 21/05/2023 2:15:00 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 21/05/2023 2:17:05 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 366.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 376.00, New: 445.00
Stop Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 650.00, New: 435.00
Scan mode: Changed: 21/05/2023 3:04:18 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 220.00, New: 335.00
Emission Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 445.00, New: 345.00
Stop Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 435.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:05:08 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 21/05/2023 3:07:25 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 335.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 345.00, New: 508.00
Stop Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 700.00, New: 498.00
Scan mode: Changed: 21/05/2023 3:13:25 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 220.00, New: 427.00
Emission Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 508.00, New: 437.00
Stop Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 498.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:13:58 PM, Old: 650.00, New: 750.00
End Method Modifications

