Sample 6,,
Wavelength (nm),Intensity (a.u.),
350,0.8182547688,
351.0599976,0.1992062479,
351.9599915,0.2228979915,
353.0299988,0.1259683818,
353.9299927,0.3780956566,
355,0.2217013985,
356.0599976,0.2704164386,
356.9599915,0.2991230786,
358.0299988,0.1897773296,
358.9299927,0.2678641677,
360,0.2379856855,
361.0700073,0.3069318235,
362,0.1585590243,
363.0700073,0.1723084599,
364,0.3400834799,
365.0700073,0.2211026698,
366,0.06346184015,
367.0700073,0.06265271455,
368,-0.04640155658,
369.0700073,0.1251701415,
370,0.1250273436,
371.0599976,0.1572055221,
371.9599915,0.03129792586,
373.0299988,0.3317064047,
373.9299927,0.3454936743,
375,0.4074915648,
376.0599976,0.8737984896,
376.9599915,0.9848304391,
378.0299988,1.103509068,
378.9299927,1.415428162,
380,1.529987812,
381.0700073,1.369245172,
382,1.335686684,
383.0700073,1.082371712,
384,0.7841003537,
385.0700073,0.4068149626,
386,0.2380574495,
387.0700073,0.173518002,
388,0.07989518344,
389.0700073,0.09507511556,
390,0.04829829186,
391.0599976,0.1463700235,
391.9599915,0.08296139538,
393.0299988,0.06406149268,
393.9299927,0.08190410584,
395,0.1184433103,
396.0599976,0.1933301091,
396.9599915,0.223592177,
398.0299988,0.03205693513,
398.9299927,0.04748638719,
400,0.09544716775,
401.0599976,0.1595685333,
401.9599915,-0.04904044047,
403.0299988,0.03229922056,
403.9299927,-0.01665195636,
405,0.158564046,
406.0599976,0.2254428416,
406.9599915,0.06296633929,
408.0299988,0.06293266267,
408.9299927,0.1425855458,
410,0.0468486473,
411.0599976,0.1247796863,
411.9599915,0.06165132672,
413.0299988,0.08103071153,
413.9299927,0.01580452919,
415,0.09670089185,
416.0599976,-0.1817040443,
416.9599915,-0.08259957284,
418.0299988,-0.01644114777,
418.9299927,-0.03201741725,
420,-0.09681791812,
421.0599976,-0.03212438524,
421.9599915,0.0165090058,
423.0299988,0.06391103566,
423.9299927,0.1276324242,
425,0.04817419872,
426.0599976,0.03229296207,
426.9599915,0.09805043042,
428.0299988,0.1020911634,
428.9299927,0.1505570561,
430,-0.04862394556,
431.0400085,0.1482237875,
431.9400024,-0.06381111592,
432.980011,0.1151467264,
434.019989,0.01645359211,
435.0700073,0,
435.9700012,0.03311916068,
437.0100098,0.1178014874,
438.0499878,0,
438.9500122,0.05068594962,
440,0.06702412665,
441.0599976,0.1472778022,
441.9599915,0.1491918862,
443.0299988,-0.04897799343,
443.9299927,0.1001001,
445,0.04976444691,
446.0599976,0,
446.9599915,-0.0161131788,
448.0299988,-0.04931371659,
448.9299927,0.03306058422,
450,0.01654013433,
451.0599976,0.08226661384,
451.9599915,0.09742157161,
453.0299988,0.03364115208,
453.9299927,0.1483899653,
455,0.08291049302,
456.0599976,0.08171403408,
456.9599915,0.1772849709,
458.0299988,0.1298448294,
458.9299927,-0.06803299487,
460,0.08051529527,
461.0400085,0.06474272907,
461.9400024,0.1496134996,
462.980011,0.09743739665,
464.019989,0.1605419964,
465.0700073,0.06352634728,
465.9700012,0.03184460104,
467.0100098,0.1911893636,
468.0499878,0.03270004317,
468.9500122,0.1104414463,
470,-0.01571734063,
471.0400085,0.03157611936,
471.9400024,0.112260446,
472.980011,-0.07971049845,
474.019989,0.03140259534,
475.0700073,0.01605755091,
475.9700012,0.06289111078,
477.0100098,0.1110547036,
478.0499878,0.03191421553,
478.9500122,0.1110740826,
480,-0.06378263235,
481.0400085,-0.01597214304,
481.9400024,0.03217399865,
482.980011,0.06292276829,
484.019989,0.04824314639,
485.0700073,0,
485.9700012,0.2064770162,
487.0100098,0.1590583771,
488.0499878,0.04754659534,
488.9500122,0.04688232392,
490,0.0940438807,
491.0400085,0.1427189559,
491.9400024,0.204666391,
492.980011,0.1127977073,
494.019989,0.1104222834,
495.0700073,0.04741583765,
495.9700012,-0.01582228392,
497.0100098,-0.01568110846,
498.0499878,0.1424275935,
498.9500122,0.07941929251,
500,0.04674936458,
501.0400085,0.09744214267,
501.9400024,0.04886550456,
502.980011,0.04796393216,
504.019989,0.1252093315,
505.0700073,0.1261789948,
505.9700012,0.1134466752,
507.0100098,0.09857558459,
508.0499878,0.1100923195,
508.9500122,-0.1468141228,
510,0.05059192702,
511.0400085,-0.049390845,
511.9400024,0.09757366776,
512.9799805,0.09857234359,
514.0200195,-0.01606528834,
515.0700073,-0.01656698808,
515.9699707,0.06424877048,
517.0100098,0.1774279326,
518.0499878,-0.03276432306,
518.9500122,-0.09574417025,
520,0.1936420947,
521.0200195,-0.06551147997,
522.0499878,0,
522.9400024,0.1162153631,
523.9699707,0.06505440176,
525,0.03112888895,
526.0200195,0.09568462521,
527.0499878,0.03140456975,
527.9400024,-0.01581652835,
528.9699707,0.03163105249,
530,0.03184764087,
531.039978,0.1271011382,
531.9400024,0.03131704032,
532.9799805,0.06414779276,
534.0200195,0.01629540324,
535.0700073,0.1114827171,
535.9699707,-0.1243877783,
537.0100098,0.2205801308,
538.0499878,0.1143491864,
538.9500122,-0.04809079319,
540,0.1147108451,
541.0200195,0.08215441555,
542.0499878,0.1440161318,
542.9400024,0.129040584,
543.9699707,0.1451285183,
545,-0.04732159898,
546.0200195,0.1625038534,
547.0499878,0.1967374384,
547.9400024,0.08096248657,
548.9699707,0.01605136506,
550,0.2189415693,
551.0200195,0.04787285253,
552.0499878,0.0958083868,
552.9400024,0.03130527213,
553.9699707,-0.08007558435,
555,0.06434281915,
556.0200195,0.1142726541,
557.0499878,0.1141626984,
557.9400024,0.04840505496,
558.9699707,0.04777983204,
560,-0.06564694643,
561.0200195,0.03287959471,
562.0499878,0.03223103285,
562.9400024,-0.03165058047,
563.9699707,0.01611681469,
565,0.1449625492,
566.0200195,0.08002048731,
567.0499878,0.03249021247,
567.9400024,0.07970032841,
568.9699707,-0.08183172345,
570,-0.0318755582,
571.0100098,-0.03248387948,
572.0200195,0.01658347435,
573.039978,0.1115129143,
574.0499878,-0.04873136058,
575.0700073,0.1955862641,
575.9400024,0.1752652824,
576.9500122,0.0949171856,
577.9699707,0.1610850692,
578.9799805,0.07998336852,
580,0.01589901,
581.0200195,0.04817187786,
582.0499878,0.04862000048,
582.9400024,0.1458292902,
583.9699707,-0.03128617257,
585,0.04728206992,
586.0200195,0.112095058,
587.0499878,0.1483141631,
587.9400024,0.1779417098,
588.9699707,0.08068159223,
590,-0.06352230906,
591.0100098,-0.03236088902,
592.0200195,0.03148465976,
593.039978,0.03161655366,
594.0499878,0,
595.0700073,0.06335027516,
595.9400024,0.01582428813,
596.9500122,-0.03172739968,
597.9699707,-0.01616527326,
598.9799805,0.163827002,
600,0.1143566594,
601.0100098,0.1821795255,
602.0200195,0.1459664702,
603.039978,0.1792377383,
604.0499878,0.01609865203,
605.0700073,0.04948779941,
605.9400024,0.06464959681,
606.9500122,-0.01626307145,
607.9699707,-0.01649810933,
608.9799805,0.1954811364,
610,0.1867762506,
611.0100098,0.2112415731,
612.0200195,0.08140935749,
613.039978,-0.1009455249,
614.0499878,0.1018987074,
615.0700073,0.1030591354,
615.9400024,0.1150672287,
616.9500122,-0.08144383878,
617.9699707,-0.100443624,
618.9799805,0.09703870118,
620,0.2243971527,
621.0100098,0.06792209297,
622.0200195,0.05000083148,
623.039978,0,
624.0499878,-0.0668002665,
625.0700073,0.03404139355,
625.9400024,0.03311861306,
626.9500122,0.3286716938,
627.9699707,0.1349345595,
628.9799805,-0.1330583543,
630,0.03351487219,
631,0.1857261062,
632,0.03275037557,
633,-0.06492136419,
634,0.0945969373,
635,0.08027099818,
636,-0.03359029815,
637,0,
638,-0.1601075977,
639,-0.04844804853,
640,-0.03158510104,
641.0100098,0.0821800679,
642.0200195,-0.01732591726,
643.039978,0.03212748095,
644.0499878,0.08171804249,
645.0700073,0.01621928439,
645.9400024,0,
646.9500122,0,
647.9699707,-0.06365270913,
648.9799805,0.1761634797,
650,-0.06530078501,

Sample 6,
Sample 6
Collection Time: 23/05/2023 4:52:08 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 23/05/2023 2:20:55 PM
Method Modifications:
Overlayed Graphs Changed: 23/05/2023 2:21:20 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 2:21:56 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 23/05/2023 2:23:07 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 650.00, New: 380.00
User Delta Stop Changed: 23/05/2023 2:23:57 PM, Old: 450.00, New: 490.00
User Delta Increment Changed: 23/05/2023 2:23:57 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 390.00, New: 490.00
Stop Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 380.00, New: 480.00
Scan mode: Changed: 23/05/2023 4:52:05 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 490.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 480.00, New: 650.00
End Method Modifications

