Sample 30,,
Wavelength (nm),Intensity (a.u.),
353.9299927,1.005347967,
355,0.3724394739,
356.0599976,0.2347061336,
356.9599915,0.3583933115,
358.0299988,0.3250843287,
358.9299927,0.4261344075,
360,0.3552203774,
361.0700073,0.20655182,
362,0.2761706114,
363.0700073,0.4785497189,
364,0.3296159804,
365.0700073,0.2196263671,
366,0.2353234291,
367.0700073,0.2519843578,
368,0.2816623747,
369.0700073,0.09688849002,
370,0.405497998,
371.0599976,0.1790288389,
371.9599915,0.1530626416,
373.0299988,0.1229105219,
373.9299927,0.1400952637,
375,0.01406192873,
376.0599976,0.266985178,
376.9599915,0.2793179154,
378.0299988,0.1673290133,
378.9299927,0.3548567593,
380,0.4276688099,
381.0700073,0.7358862758,
382,0.7178354263,
383.0700073,1.029738784,
384,1.199481964,
385.0700073,1.237419605,
386,1.177592039,
387.0700073,1.018188,
388,0.9758108854,
389.0700073,0.8350553513,
390,0.6955999732,
391.0599976,0.6655526757,
391.9599915,0.5465451479,
393.0299988,0.4591815472,
393.9299927,0.3019572198,
395,0.2687411606,
396.0599976,0.259999752,
396.9599915,0.2860575616,
398.0299988,0.1795679331,
398.9299927,0.2688286304,
400,0.09643600136,
401.0599976,0.2505812049,
401.9599915,0.1398210227,
403.0299988,-0.04197213054,
403.9299927,0.1655674875,
405,0.1106623188,
406.0599976,0.09828423709,
406.9599915,0.15117158,
408.0299988,0.04127683118,
408.9299927,0.02785748057,
410,0.08374975622,
411.0599976,0.1255090088,
411.9599915,0.1235449165,
413.0299988,0.1240421236,
413.9299927,0.2080443799,
415,0.04128875956,
416.0599976,0.01382953767,
416.9599915,0.05580590665,
418.0299988,0.04132117331,
418.9299927,0.110221684,
420,0.1553101838,
421.0599976,0.08279173821,
421.9599915,0.1141454801,
423.0299988,0.1310539693,
423.9299927,0.151841417,
425,0.1947148889,
426.0599976,0.1682415903,
426.9599915,0.06893318892,
428.0299988,0.2352420241,
428.9299927,0.02728513069,
430,0.09732495248,
431.0400085,0.1518267542,
431.9400024,0.1257035881,
432.980011,0,
434.019989,0.1404908746,
435.0700073,0.05743165314,
435.9700012,0.1842560321,
437.0100098,0.08275406063,
438.0499878,0.1101776585,
438.9500122,0.1405402422,
440,0.206267789,
441.0599976,0.08375677466,
441.9599915,0.1924768984,
443.0299988,-0.08301166445,
443.9299927,0.07132362574,
445,0.04332317784,
446.0599976,0.2666479647,
446.9599915,0.01381768938,
448.0299988,0.05642385408,
448.9299927,-0.04375218973,
450,0.1680766493,
451.0599976,-0.01411094051,
451.9599915,0.08413731307,
453.0299988,0.02829814889,
453.9299927,0.1675807387,
455,0.3063256145,
456.0599976,0.04709798098,
456.9599915,0.07316038013,
458.0299988,0.07156863809,
458.9299927,0.1181928292,
460,0.05613798648,
461.0400085,0.1436368972,
461.9400024,0.1197156757,
462.980011,0.04553042725,
464.019989,0.02893937193,
465.0700073,0.1168173105,
465.9700012,0.01502336096,
467.0100098,0.1874333173,
468.0499878,0.1736330241,
468.9500122,0.0774737373,
470,-0.04322953522,
471.0400085,0.1182784513,
471.9400024,0.2211671621,
472.980011,0.3007157147,
474.019989,0.1720060259,
475.0700073,0.02977519855,
475.9700012,0.1010319665,
477.0100098,0.1874900907,
478.0499878,0.1168787479,
478.9500122,0.2787477076,
480,0.07363119721,
481.0400085,0.1790029556,
481.9400024,0.1535980403,
482.980011,0.02889463492,
484.019989,0.1484979391,
485.0700073,0.149828434,
485.9700012,0.06094309315,
487.0100098,0.03148316965,
488.0499878,0.187300995,
488.9500122,0.07798000425,
490,0.1288217157,
491.0400085,0.0745979175,
491.9400024,0.116368711,
492.980011,0.1638977826,
494.019989,0.101753056,
495.0700073,0.08468356729,
495.9700012,0.1568649709,
497.0100098,0.2342307568,
498.0499878,0.291567564,
498.9500122,0.05690224096,
500,0.0980199948,
501.0400085,0,
501.9400024,0.01389545109,
502.980011,0.05661952868,
504.019989,0.09613139927,
505.0700073,-0.01403449662,
505.9700012,-0.04249713197,
507.0100098,0.1100215912,
508.0499878,0.01396901626,
508.9500122,0.1096957326,
510,0.1542322785,
511.0400085,0.04439051822,
511.9400024,0.1175675243,
512.9799805,0.04131719097,
514.0200195,0.08917292207,
515.0700073,0.1689450741,
515.9699707,0.08604864776,
517.0100098,0.01406568661,
518.0499878,0.05670702457,
518.9500122,0.1127109826,
520,0.09915997088,
521.0200195,0.2393388599,
522.0499878,0.1851588041,
522.9400024,0.263962239,
523.9699707,0.1610305905,
525,0.2049630284,
526.0200195,0.2250509858,
527.0499878,0.08810055256,
527.9400024,0.07429531217,
528.9699707,0.05575456843,
530,0.02979871072,
531.039978,0.1303025931,
531.9400024,0.2501424551,
532.9799805,-0.02869316936,
534.0200195,0,
535.0700073,0.1563432813,
535.9699707,0.02896158211,
537.0100098,0.07351968437,
538.0499878,0.2237637043,
538.9500122,0.07042253762,
540,0.1564989835,
541.0200195,-0.01384696271,
542.0499878,0.1249930486,
542.9400024,0.2679368854,
543.9699707,0.1252330691,
545,0.1706581712,
546.0200195,0.02755466104,
547.0499878,0.1448456645,
547.9400024,0.1528393328,
548.9699707,0.07437045127,
550,0.1104469001,
551.0200195,0.06916968524,
552.0499878,0.02819005772,
552.9400024,0.02793647163,
553.9699707,0.02976854891,
555,-0.03141937032,
556.0200195,-0.08516073972,
557.0499878,-0.02776967734,
557.9400024,0.01428530551,
558.9699707,0.1399325579,
560,0.01453699637,
561.0200195,0,
562.0499878,-0.04320712015,
562.9400024,0.01422252506,
563.9699707,0.07395027578,
565,0.01380929351,
566.0200195,0.01418620814,
567.0499878,0.02725501172,
567.9400024,0.1376746744,
568.9699707,0.05554244295,
570,0.02824579552,
571.0100098,0.02727508172,
572.0200195,0.02885628119,
573.039978,0.09645327181,
574.0499878,0.01399462577,
575.0700073,0.05676174164,
575.9400024,0.1948324442,
576.9500122,0.0755732283,
577.9699707,0.05560575798,
578.9799805,0.08571305871,
580,-0.01409622096,
581.0200195,0.04409365728,
582.0499878,0.2162629813,
582.9400024,0.1682015061,
583.9699707,0.1185202673,
585,0.09759225696,
586.0200195,0,
587.0499878,0.01388291176,
587.9400024,0.06882596761,
588.9699707,0.1141112894,
590,0.1306999773,
591.0100098,0.1282069534,
592.0200195,0.06973403692,
593.039978,0.0429934971,
594.0499878,-0.05546773225,
595.0700073,0.1380528957,
595.9400024,0.05817335844,
596.9500122,0.06994278729,
597.9699707,-0.07026123255,
598.9799805,0.04194689542,
600,-0.04219053313,
601.0100098,0.1107251048,
602.0200195,-0.05585344136,
603.039978,0.0699878186,
604.0499878,0.1545247585,
605.0700073,-0.02794662304,
605.9400024,0,
606.9500122,0.1428530663,
607.9699707,-0.1027372107,
608.9799805,0.101692453,
610,0,
611.0100098,0.1365485936,
612.0200195,0.1440092176,
613.039978,0.02880184352,
614.0499878,0.05845218897,
615.0700073,-0.02805678733,
615.9400024,0.01415889058,
616.9500122,0.01451821253,
617.9699707,0,
618.9799805,0.2190196663,
620,0.04175597802,
621.0100098,0.02914984524,
622.0200195,0,
623.039978,0.01441794727,
624.0499878,-0.05778175965,
625.0700073,0.1172006577,
625.9400024,0.09850136936,
626.9500122,0.01454080082,
627.9699707,-0.03009374253,
628.9799805,0.09642670304,
630,0.05605774,
631,0.1370029747,
632,0.1566906869,
633,0.02756073698,
634,-0.1147611514,
635,0.04240462556,
636,-0.07288523018,
637,0.04351988807,
638,0.04158465192,
639,0.02969870716,
640,0.1153718531,
641.0100098,0.08298181742,
642.0200195,0.1639906466,
643.039978,0.01444356143,
644.0499878,0.04260032624,
645.0700073,0.0850629434,
645.9400024,0.02883381583,
646.9500122,0.09885749221,
647.9699707,0.1593094617,
648.9799805,-0.02823622338,
650,0.1018403992,

Sample 30,
Sample 30
Collection Time: 4/05/2023 12:41:46 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        354.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               344.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
Scan mode: Changed: 4/05/2023 11:18:46 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 374.00, New: 347.00
Stop Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 364.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 337.00, New: 422.00
Emission Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 347.00, New: 432.00
Stop Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 600.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:33:22 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 11:33:22 AM, Old: 450.00, New: 525.00
User Delta Increment Changed: 4/05/2023 11:33:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 422.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 432.00, New: 525.00
Stop Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 700.00, New: 515.00
Scan mode: Changed: 4/05/2023 11:54:35 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 525.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 515.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:56:27 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 331.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 341.00, New: 508.00
Stop Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 700.00, New: 500.00
Scan mode: Changed: 4/05/2023 11:58:40 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 508.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 500.00, New: 700.00
Excitation Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 331.00, New: 469.00
Emission Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 341.00, New: 479.00
Scan mode: Changed: 4/05/2023 12:08:27 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 12:08:27 PM, Old: 525.00, New: 529.00
Excitation Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 469.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 479.00, New: 529.00
Stop Wavelength Changed: 4/05/2023 12:08:27 PM, Old: 700.00, New: 519.00
User Delta Stop Changed: 4/05/2023 12:09:21 PM, Old: 529.00, New: 560.00
Emission Wavelength Changed: 4/05/2023 12:09:21 PM, Old: 529.00, New: 560.00
Stop Wavelength Changed: 4/05/2023 12:09:21 PM, Old: 519.00, New: 550.00
Scan mode: Changed: 4/05/2023 12:18:01 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 12:18:01 PM, Old: 220.00, New: 550.00
Stop Wavelength Changed: 4/05/2023 12:18:01 PM, Old: 550.00, New: 800.00
Scan mode: Changed: 4/05/2023 12:19:22 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 12:19:22 PM, Old: 560.00, New: 631.00
Excitation Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 550.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 560.00, New: 631.00
Stop Wavelength Changed: 4/05/2023 12:19:22 PM, Old: 800.00, New: 621.00
User Delta Stop Changed: 4/05/2023 12:23:23 PM, Old: 631.00, New: 660.00
Emission Wavelength Changed: 4/05/2023 12:23:23 PM, Old: 631.00, New: 660.00
Stop Wavelength Changed: 4/05/2023 12:23:23 PM, Old: 621.00, New: 650.00
Scan mode: Changed: 4/05/2023 12:26:00 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 220.00, New: 525.00
Emission Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 660.00, New: 530.00
Stop Wavelength Changed: 4/05/2023 12:26:00 PM, Old: 650.00, New: 800.00
Excitation Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 525.00, New: 366.00
Emission Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 530.00, New: 376.00
Stop Wavelength Changed: 4/05/2023 12:39:36 PM, Old: 800.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 366.00, New: 344.00
Emission Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 376.00, New: 354.00
Stop Wavelength Changed: 4/05/2023 12:40:53 PM, Old: 600.00, New: 650.00
End Method Modifications

